group,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
nitrite_ammonification,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,2,1,3,8,3,3,3,2,3,3,0,9,2,2,0,0,0,0,0,0,0
nitrite_respiration,4,0,0,49,1,2,7,12,3,2,36,2,10,780,887,50,7,147,9,22,10,3,4,10,6,3,213,54,156,1260,17,6,24,6,21,4
cellulolysis,0,56,0,5,0,1,206,147,189,164,413,160,0,0,0,2,0,1,441,624,516,535,469,509,1,60,1,1,0,1,108,286,193,306,126,312
xylanolysis,4,6,3103,5670,2,101,5,54,36,19,34,5,55,202,36,14,54,34,12,38,23,18,16,17,5,170,1232,6,10,13,240,60,32,49,63,42
dark_sulfide_oxidation,1,1,0,3,4,3,0,7,0,2,1,0,26,462,10,66,0,1,2,59,35,50,1,1,31,1,0,21,0,39,1070,96,703,172,323,483
dark_sulfur_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,3,0,0,0,0,0,0,0,19,1,19,36,4,11,0,0,0,0,0,0
dark_thiosulfate_oxidation,666,0,133,2,4,3,37,143,6,29,41,3,0,0,1,1,0,0,62,15,89,9,12,14,0,0,0,0,1,0,982,94,695,166,287,448
dark_oxidation_of_sulfur_compounds,668,1,133,3,5,3,41,150,9,30,42,3,29,468,16,66,3,1,64,74,126,61,12,15,50,2,21,57,116,52,1079,102,722,178,342,497
manganese_oxidation,0,0,0,0,0,0,7,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
manganese_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ligninolysis,478,1,0,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,4,17,261,0,0,416,0,0,0,0,0,0
fermentation,50532,30883,27778,32685,33973,26679,712,637,1374,1239,1617,1471,22444,20116,20064,18494,9845,18553,744,745,999,725,561,832,639,12703,10938,11615,1691,2735,3716,2579,1637,1499,3497,2369
aerobic_chemoheterotrophy,7761,4958,18714,11879,13128,4166,18813,22549,16260,24124,18712,20050,2112,9580,3454,8699,160,1803,12101,9722,11627,10978,11742,11005,20168,8843,12383,31712,56062,27134,8640,8476,9593,12337,14564,10657
invertebrate_parasites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,2,0
human_pathogens_septicemia,0,0,0,0,0,0,0,0,0,1,0,0,279,0,63,5,3,1,1,1,2,1,2,25,0,1,0,0,0,1,127,103,40,59,120,63
human_pathogens_pneumonia,14,1,1,0,0,0,159,178,234,233,104,122,270,0,51,5,3,1,34,28,29,17,30,54,0,1,0,0,0,1,131,149,58,71,126,84
human_pathogens_nosocomia,0,0,0,786,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,57,26,40,89,46
human_pathogens_meningitis,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
human_pathogens_gastroenteritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
human_pathogens_diarrhea,1,6,3102,5430,2,3,1,40,0,1,0,0,273,1,53,6,4,24,4,36,20,5,2,28,2,4,2,2,1,6,252,93,40,58,88,53
human_pathogens_all,27,5313,3153,6686,11,4810,402,237,360,261,279,325,324,28,95,1158,28,164,72,70,87,35,33,73,444,2092,14,10,4246,425,379,203,92,177,346,141
fish_parasites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
human_gut,3572,7571,11629,12643,117,20,118,152,565,44,562,368,1330,551,2218,176,1190,1046,127,224,176,132,74,142,90,87,64,101,90,110,1282,446,267,244,1255,596
human_associated,3598,12878,11680,13899,126,4827,519,349,925,304,841,693,1381,578,2260,1328,1214,1186,195,258,243,162,105,187,532,2175,76,109,4335,529,1409,556,319,363,1513,684
mammal_gut,3572,7571,11629,12643,117,20,118,152,565,44,562,368,1330,591,2218,176,1321,1046,127,224,176,132,74,142,90,87,64,102,91,110,1282,446,267,244,1255,596
animal_parasites_or_symbionts,5158,12894,11687,13907,10704,4841,537,354,929,400,892,1237,1835,811,2495,2576,1750,1242,292,347,327,269,194,260,870,2671,220,252,6338,670,1643,713,438,494,1780,949
plant_pathogen,495,3,224,1270,5,1,41,7,222,223,134,8,31,5,64,34,3,18,62,68,74,141,204,182,10,30,1,13,35,419,145,97,358,235,58,98
oil_bioremediation,0,0,0,0,0,0,1,0,0,0,0,0,10,13,6,1473,7,8,82,5,20,4,12,5,9271,7,0,10,26953,722,232,69,288,564,401,358
aromatic_hydrocarbon_degradation,2,1,902,135,14,200,78,175,401,43,21,328,70,0,1,1,0,0,420,250,309,176,190,297,0,1,1,0,69,3,152,37,274,88,115,147
aromatic_compound_degradation,226,56,4317,988,17,201,419,369,579,166,216,506,83,4802,76,2,7,1,454,299,361,212,219,330,3,7,6,85,302,29,387,223,360,283,350,323
aliphatic_non_methane_hydrocarbon_degradation,0,0,0,2,13,8,876,958,882,816,1258,2108,70,0,0,1,0,1,208,187,48,102,81,119,0,1,1,0,0,0,0,0,9,1,0,0
hydrocarbon_degradation,1421,235,2158,1419,3936,607,966,1136,1320,890,1327,2280,581,254,1027,2751,10,507,631,440,360,292,275,426,1250,1550,6166,13406,2624,1302,287,50,409,133,174,175
dark_iron_oxidation,1,0,0,1,0,0,0,7,0,1,1,0,26,462,10,65,0,1,2,59,35,50,0,1,31,1,0,21,0,39,19,4,258,54,45,55
iron_respiration,375,1,1,0,0,0,31,45,53,32,34,1,0,0,4,7,0,4,2914,2240,2697,245,327,247,1,1,0,2,0,1,1062,1352,1458,992,790,369
nitrate_respiration,18,6292,863,230,864,4844,180,67,143,31,147,67,55,896,1062,1529,45,620,196,213,407,36,48,68,9347,14,274,68,27148,1985,1857,1160,839,1088,572,616
nitrate_reduction,5016,14247,13796,11648,9242,5002,744,257,1346,505,1467,518,2444,1424,2032,2501,202,2232,423,540,712,208,125,195,9450,1883,380,257,27294,2116,6451,4710,3330,1805,3435,2390
nitrogen_respiration,18,6292,863,230,864,4844,180,67,143,31,147,67,57,900,1069,1531,46,623,204,216,410,39,50,71,9350,14,283,70,27150,1985,1857,1160,839,1088,572,616
fumarate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,9,0,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,2
intracellular_parasites,0,660,1,37,1,2,112,131,91,380,248,524,0,0,0,36,5,0,480,446,236,267,332,478,0,0,0,0,0,0,96,94,73,135,315,246
chlorate_reducers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predatory_or_exoparasitic,194,1,0,0,866,1,138,75,35,30,106,146,560,208,83,5,2,724,141,218,185,228,257,140,11,1539,2,3,29,14043,141,86,243,135,242,303
chloroplasts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonphotosynthetic_cyanobacteria,0,0,0,0,0,0,0,4,4,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
photosynthetic_cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anoxygenic_photoautotrophy_H2_oxidizing,1,0,0,1,0,0,0,7,0,1,1,0,26,462,10,65,0,1,2,59,35,50,0,1,31,1,0,21,0,39,19,4,10,9,40,36
anoxygenic_photoautotrophy_S_oxidizing,1,0,0,1,0,0,157,80,31,23,107,41,26,462,10,66,0,1,377,826,295,599,628,514,31,1,0,21,0,39,742,70,39,113,157,103
anoxygenic_photoautotrophy_Fe_oxidizing,1,0,0,1,0,0,0,7,0,1,1,0,26,462,10,65,0,1,2,59,35,50,0,1,31,1,0,21,0,39,19,4,10,9,40,36
anoxygenic_photoautotrophy,1,0,0,1,0,0,157,80,31,23,107,41,26,462,10,66,0,1,377,826,295,599,628,514,31,1,0,21,0,39,742,70,39,113,157,103
oxygenic_photoautotrophy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
photoautotrophy,1,0,0,1,0,0,157,80,31,23,107,41,26,462,10,66,0,1,377,826,295,599,628,514,31,1,0,21,0,39,742,70,39,113,157,103
aerobic_anoxygenic_phototrophy,1,0,0,1,0,0,0,7,0,1,1,0,26,462,10,65,0,1,2,59,35,50,0,1,31,1,0,21,0,39,19,4,10,9,40,36
photoheterotrophy,1,0,0,1,1,0,2,7,5,6,8,7,27,462,10,65,1,1,211,205,776,121,113,460,32,2,0,22,0,39,1247,2031,2021,993,2485,6423
phototrophy,1,0,0,1,1,0,159,80,36,28,114,48,27,462,10,66,1,1,586,972,1036,670,741,973,32,2,0,22,0,39,1970,2097,2050,1097,2602,6490
plastic_degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ureolysis,9,7,174,3,0,6,506,382,381,467,730,408,672,781,1602,862,22,888,253,212,967,141,153,202,2537,194,1687,70,781,3296,1087,707,1819,3317,1024,928
reductive_acetogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemoheterotrophy,57544,35420,42169,41233,39740,30839,19174,23140,17135,25005,19959,21726,23967,28911,24968,28415,10106,21091,12878,10489,12912,11758,12455,11914,23381,21775,26288,32603,58561,33563,12656,11077,11423,13778,17494,14124
