Genus,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
Rhodanobacter,0.00150184,0.001370821,0.001365355,0.001562646,0,0.019829467,0.740476113,0.400386814,0.309783527,0.396457058,0.435913123,0.418812882,0,0,0,0.002966127,0.003704184,0.00422833,0.17117007,0.132869806,0.448992208,0.116455696,0.179493983,0.181506171,0,0.001391111,0,0,0,0,1.812679043,1.553803718,1.066887514,1.796204439,4.935995727,2.450112375
Rhodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0.001530386,0,0,0,0.001852092,0,0.324873806,0.174732895,1.091571635,0.030379747,0.053067786,0.653422216,0.001371893,0,0,0.001739554,0,0,1.959959215,3.296936461,3.251002744,1.643840255,4.18655135,10.83906559
Rhodococcus,0,0,0,0.003125293,0.0206743,0.012202749,0,0,0.001877476,0,0.003059039,0.34339447,0.107127007,0,0,0.001483063,0,0,0,0,0,0,0,0,0,0.001391111,0.001422819,0,0,0,0,0,0,0,0,0
Rhodomicrobium,0,0,0,0,0,0,0,0,0,0.001573242,0,0,0,0,0,0,0,0,0,0,0.001626783,0,0,0,0,0.001391111,0,0,0,0,0.009710781,0.001632147,0.003247755,0.013543483,0.020674328,0.008513247
Rhodopseudomonas,0.00150184,0,0,0.001562646,0,0,0,0.01187588,0,0.001573242,0.00152952,0,0.039790031,0.711261643,0.014906018,0.096399122,0,0.001409443,0.003493267,0.107387925,0.056937418,0.084388186,0,0.001650056,0.042528673,0.001391111,0,0.036530634,0,0.068958201,0.030750805,0.006528587,0.016238775,0.015236418,0.068914426,0.061295376
Rhodovastum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001746633,0.010920806,0.001626783,0.033755274,0.003121634,0.004950168,0,0,0,0,0,0,0.009710781,0.00489644,0,0.001692935,0.006891443,0.001702649
Rickettsia,0,0.903370848,0.001365355,0.05781792,0,0.001525344,0,0,0,0,0,0,0,0,0,0.045974966,0.001852092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rikenella,0,0,0,0,0,0,0,0,0,0,0,0,0.475949987,0.001539527,0.083473698,0.011864507,0,0.001409443,0.008733167,0.005460403,0.001626783,0.003375527,0.006243269,0.008250281,0,0,0,0,0,0,0,0,0,0,0,0
Rikenellaceae_RC9_gut_group,0,0,0,0,0,0,0,0,0,0,0,0,0.66112667,0.919097837,0.541088437,0.557631844,3.724556887,2.639887245,0.017466334,0.005460403,0.006507133,0.018565401,0.007804086,0.052801795,0.001371893,0.002782222,0.001422819,0.006958216,0.004236211,0.005304477,0.001618463,0.001632147,0.003247755,0,0,0.003405299
Roseateles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165931903,0.005063291,0,0.001650056,0,0,0,0,0,0,0,0.013057174,0.003247755,0.003385871,0.008614303,0.001702649
Roseburia,0.00150184,0.001370821,0.001365355,0,0.001590331,0,0,0,0.001877476,0.001573242,0,0.635440235,0.379535681,0.180124702,0.056642867,1.588360918,0.820476728,0.005637773,0.022706234,0.009100672,0.008133917,0.021940928,0.006243269,0.006600224,0.023322175,0.01669333,0.078255055,0.022614202,0.03671383,0.031826862,0.077686245,0.073446604,0.03897306,0.042323385,0.086143032,0.085132466
Roseomonas,0,0,0,0,0,0,0,0,0,0,0,0,0.038259645,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0.00485539,0,0.001623877,0.008464677,0.049962958,0.006810597
Rubrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05664622,0.009792881,0.009743265,0.003385871,0.015505746,0.006810597
Ruminiclostridium,0,0,0,1.025096103,0,0.001525344,0,0,0,0,0,0,0.001530386,0,0.004471805,0.001483063,0.135202711,0.001409443,0.001746633,0.001820134,0,0,0.001560817,0.001650056,0,0.001391111,0,0.001739554,0.002824141,0.001768159,0.203926392,0.179536144,0.134781832,0.057559803,0.032734352,0.044268882
Ruminiclostridium_1,0,0,0,0,0,0,0,0,0,0,0,0.001604647,0,0.001539527,0,0,0,0,0,0.001820134,0.035789234,0.005063291,0.003121634,0,0,0,0,0,0,0,0.940327253,0.799751914,1.940533606,0.926035653,0.046517237,0.206020568
Ruminiclostridium_5,0.597732222,0.008224924,0.002730711,0.309404007,2.541348601,0.001525344,0,0.055986292,0.001877476,0,0,0,0.013773472,0.292510199,0.029812035,0.658480157,0.30559517,0.047921071,0.0052399,0.003640269,0,0.003375527,0.007804086,0.006600224,0.001371893,0.004173332,0.512214903,0.003479108,0.007060352,0.001768159,0.014566171,0.088135925,0.082817752,0.071103286,0.005168582,0.006810597
Ruminiclostridium_6,0,0,0,0.003125293,0.003180662,6.972345521,0,0.003393109,0,0.001573242,0,0,0.010712701,0.001539527,0.019377823,0.00889838,0.359305836,0.012684989,0.006986533,0.007280537,0.003253567,0.003375527,0.001560817,0.004950168,0.012347034,0.004173332,0.011382553,0.012176878,0.008472422,0.008840795,0,0,0,0,0,0
Ruminiclostridium_9,0.00150184,0.002741641,0,0.001562646,0,0,0,0.03562764,0,0,0,0,1.845645287,0.806712339,0.159494388,0.588776176,1.209416035,1.866102889,0.0261995,0.020021478,0.016267834,0.025316456,0.035898797,0.031351066,0.019206497,0.023648884,0.008536915,0.022614202,0.032477619,0.042435816,0.076067781,0.024482201,0.014614897,0.023701095,0.018951467,0.008513247
Ruminococcaceae_NK4A214_group,0,0,0,0,0.001590331,0,0,0,0,0,0,0,0.003060772,0.006158109,0.096889114,0.129026517,0.266701239,0,0,0.001820134,0.00488035,0.006751055,0.003121634,0.004950168,0.005487571,0.002782222,0.002845638,0.006958216,0.002824141,0.005304477,0.001618463,0,0.001623877,0,0.001722861,0.001702649
Ruminococcaceae_UCG-002,0,0,0,0,0,0.003050687,0,0,0,0.179349622,0,0,0.185176683,0.001539527,0.002981204,0.001483063,0.001852092,0,0.001746633,0,0.003253567,0.001687764,0.004682452,0.004950168,0.001371893,0.001391111,0,0,0.008472422,0.008840795,0.092252416,0.013057174,0.00649551,0.016929354,0.006891443,0.023837091
Ruminococcaceae_UCG-003,0,0,0,0,0,0,0,0,0,0,0,0.001604647,0.151508195,0.003079055,0.001490602,0.00444919,0.333376549,0.002818887,0.006986533,0.009100672,0.003253567,0,0.003121634,0.006600224,0.002743785,0.002782222,0.01707383,0.006958216,0.00141207,0.001768159,0,0,0,0,0,0
Ruminococcaceae_UCG-005,0.115641661,0.012337386,0.001365355,0.001562646,0,0,0,0.003393109,0,0,0.00152952,0.001604647,0.010712701,0.172427065,0.751263285,0.022245951,0.005556276,0.001409443,0,0,0.001626783,0.003375527,0,0.003300112,0.001371893,0.004173332,0,0,0,0,0.001618463,0,0.003247755,0.001692935,0.001722861,0
Ruminococcaceae_UCG-008,0,0,0,0,0,0,0,0,0,0,0,0,0.101005463,0,0,0,0.011112552,0.00422833,0,0,0,0.010126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae_UCG-009,0,0,0,0.001562646,0.001590331,0.001525344,0,0.001696554,0,0,0.00152952,0,0.231088257,0.213994304,0.002981204,0.53390283,0.064823218,0,0.003493267,0,0,0.001687764,0.001560817,0.003300112,0.001371893,0.001391111,0,0.003479108,0.002824141,0.001768159,0,0,0,0,0,0
Ruminococcaceae_UCG-010,0,0,0,0,0,0.001525344,0,0,0,0,0,0,0.250983273,0.003079055,0.004471805,0.002966127,0.116681792,0,0.006986533,0.005460403,0.001626783,0.003375527,0.001560817,0.003300112,0.005487571,0.001391111,12.03989585,0.006958216,0,0,0,0,0.001623877,0,0,0
Ruminococcaceae_UCG-013,0,0.028787235,0,0,0,0,0,0,0,0,0,0.019255765,0.036729259,0.004618582,0.008943611,0.001483063,0.231511492,0.080338266,0.003493267,0,0,0,0.001560817,0,0.009603249,0.001391111,0.022765107,0.003479108,0.00141207,0.008840795,0.016184634,0.039171522,0.01299102,0.02200816,0.008614303,0.013621195
Ruminococcaceae_UCG-014,0.238792521,0.01919149,0,1.229802794,0.006361323,2.70290883,0.003247702,0.008482771,0.001877476,0.004719727,0.004588559,0,2.750103301,1.059194827,0.432274509,0.95509284,0.790843257,3.071176885,0.090824935,0.021841612,0.081339168,0.060759494,0.054628604,0.064352188,0.019206497,0.01808444,0.438228306,0.027832864,0.024005196,0.031826862,0.05179083,0,0.082817752,0.062638609,0.02584291,0.011918545
Ruminococcus_1,0,0,0,0.001562646,0,0.012202749,0.001623851,0.013572434,0.007509904,0,0.007647599,0.001604647,0.609093552,0.05234393,0.116266937,0.040042712,1.092734243,0.026779422,0.033186034,0.009100672,0.0097607,0.016877637,0.023412259,0.018150617,0.042528673,0.023648884,9.044861489,0.03479108,0.024005196,0.03536318,0.001618463,0.014689321,0.003247755,0.008464677,0,0.011918545
Ruminococcus_2,0,0,0,0,0,0,0,0,0,0,0,0,1.660468604,0.854437688,0.05068046,0.005932254,0.040746023,0.046511628,0.0052399,0.003640269,0.001626783,0.003375527,0.004682452,0.003300112,0.006859463,0.002782222,0.004268458,0.006958216,0.002824141,0.005304477,0.038843122,0.00489644,0.011367142,0.001692935,0.010337164,0.013621195
Rummeliibacillus,0,0,0,0,0,0,0,0.001696554,0.001877476,0,0.003059039,0,0,0,0.002981204,0.001483063,0,0.001409443,0.001746633,0,0.0195214,0,0.003121634,0.033001122,0,0,0,0.001739554,0,0.001768159,0,0.003264294,0.001623877,0,0.018951467,0.005107948
Salinarimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485539,0.014689321,0.014614897,0.011850548,0.024120049,0.02553974
Salinicola,0,0.001370821,0,0.520361284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schumannella,0,1.956161154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001768159,0,0.001632147,0,0,0,0
Sediminibacterium,0,0,0.001365355,0.017189111,0.001590331,0,0,0,0.015019807,0.001573242,0.006118079,0,0,0.164729428,0.092417309,0.041525776,0,0.00845666,0.155450369,0.043683224,0.084592735,0.006751055,0.018729807,0.176556003,1.436371618,0.498017667,0.939060655,0.064363497,0,0.003536318,0.067975464,0.071814458,0.047092447,0.152364184,0.124045966,0.04937683
Segetibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307508052,0.05549299,0.056835712,0.050788061,0.301500612,0.895593544
Sideroxydans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040461586,0,0.405969374,0.076182092,0.008614303,0.032350337
Skermanella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043665834,0.047323492,0.001626783,0.113080169,0.145156004,0.23265791,0,0,0,0,0,0,0,0.141996768,0.050340202,0.015236418,0,0.005107948
Slackia,0,0,0,0,0,0,0,0,0,0,0,0,0.202010927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorangium,0,0,0,0,0,0,0.004871553,0,0,0,0.00152952,0,0,0,0,0.001483063,0,0,0.132744136,0.203855045,0.073205251,0.258227848,0.257534845,0.252458584,0,0,0,0.001739554,0,0.001768159,0.025895415,0.008160734,0,0.006771742,0.020674328,0.028945038
Sphingobium,0,0,0,0.264087258,0.001590331,0,0,0,0.003754952,0,0,0,0.004591157,0.003079055,0,0.502758498,0.005556276,0.007047216,0.034932667,0,0,0,0.003121634,0.003300112,2.380233771,0.005564443,0.001422819,0.003479108,8.093987404,0.01768159,0.16508327,0.044067963,0.029229795,0.067717415,0.156780318,0.221344412
Sphingomonas,1.820229781,0.493495456,0.016384266,0.021877051,0.019083969,5.001601611,0.212724497,0.083131161,0.045059422,0.051916996,0.105536861,0.048139412,0.016834244,0.006158109,0.004471805,0.013347571,0.003704184,0.001409443,1.107365553,0.515098014,0.322103106,0.664978903,0.646178339,0.894330407,0,0.001391111,0,0.003479108,0,1.479949077,0.347969638,0.158318236,0.154268362,0.304728369,0.589218338,0.458012668
Sphingopyxis,0,0.001370821,0,0,0.001590331,0,0.501769998,0.498786964,0.42806451,0.239132829,0.383909452,0.399557117,0,0.001539527,0.005962407,0.002966127,0,0,0.480324175,0.298502029,0.284687088,0.165400844,0.307480997,0.207907069,0,0.002782222,0,0,0,0,0.44831437,0.107721686,0.206232442,0.663630669,0.565098289,0.413743785
Spirochaeta_2,0,0,0,0,0,0,0,0,0,0,0,0,0.01836463,0,0,0,0,0,0.071611968,0.025481881,0.122008752,0.006751055,0.009364903,0,0,0,0,0,0,0,0.11814783,0.158318236,0.152644485,0.126970154,0.180900367,0.161751686
Sporobacter,0,0,0,0,0,0,0,0,0,0,0.004588559,0,0,0,0,0,0,0,0.001746633,0,0.060190984,0,0,0,0,0,0,0,0,0,0.10358166,0.05549299,0.05196408,0.077875028,0.070637286,0.020431792
Sporocytophaga,0,0,0,0,0,0,0.02922932,0.01187588,0.028162139,0.006292969,0.105536861,0.001604647,0,0,0,0,0,0,0.034932667,0.089186582,0.082965951,0.065822785,0.074919228,0.062702132,0,0,0,0,0,0,0.001618463,0,0.001623877,0.003385871,0.001722861,0
Staphylococcus,0,0.031528876,0,0.017189111,0,0,0,0,0,0,0,0,0.062745818,0.001539527,1.665002161,0.068220917,0.007408368,0.00422833,0.0052399,0.003640269,0,0.006751055,0.006243269,0.001650056,0.002743785,0.001391111,0.065449682,0.097415023,0.331836539,1.98387439,0.116529367,0.022850055,0.009743265,0.013543483,0.036180073,0.020431792
Stenotrophomonas,0,0,0,0,0.001590331,0.012202749,0.224091455,0,0.206522351,0,0.067298868,0.075418412,0.003060772,0.001539527,0,0,0.003704184,0.005637773,0.003493267,0,0.001626783,0.003375527,0.003121634,0.001650056,0,0.002782222,0.004268458,0.003479108,0.00141207,0.001768159,0.012947707,0,0.001623877,0.08803264,0.010337164,0.008513247
Steroidobacter,0,0,0,0,0,0,0.001623851,0,0.001877476,0,0.00152952,0,0,0,0,0.002966127,0.003704184,0,0.309154105,0.356746328,0.22286932,0.479324895,0.365231235,0.491716718,0,0,0,0,0,0,0.250861832,0.042435816,0.050340202,0.049095126,0.015505746,0.028945038
Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0.078627706,0.091823149,0,0.080492495,0.143857151,0.003704184,0.001409443,0.001746633,0.001820134,0.001626783,0,0,0.001650056,0,0,0.002845638,0,0.002824141,0.001768159,0.372246589,0.137100328,0.10392816,0.123584283,0.158503179,0.17707553
Streptomyces,0.00150184,0,0,0,0.001590331,0,0.285797798,0.076344943,0.144565646,0.129005868,0.128479657,0.062581235,0.003060772,0,0.002981204,0.001483063,0,0,0.027946134,0.030942284,0.099233785,0.030379747,0.07335841,0.03795129,0,4.892536691,0,0.003479108,0.00141207,0.001768159,0.06150161,0.096296659,0.086065507,0.121891347,0.511689609,0.108969557
Subdoligranulum,0.00150184,0,0.001365355,0,0,0.001525344,0,0,0,0,0,0,0.06580659,0,0.201231237,0,0.00926046,0.042283298,0,0,0,0,0,0,0,0,0,0,0,0.001768159,0,0,0,0,0,0.010215896
Succinivibrionaceae_UCG-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.423325621,0,0,0.003493267,0,0,0.001687764,0.001560817,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfitobacter,0,0,0,0,0,0,0,0,0,0,0,0,0.004591157,0.009237164,0.007453009,0,0.005556276,0,0,0,0,0,0,0,0.026065961,0.001391111,0.027033564,0.062623943,0.005648282,0.019449749,0,0,0,0,0,0
Sulfuricurvum,0,0,0,0,0,0,0,0,0,0,0,0.001604647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.338533996,4.192985033,0.003247755,0,0,0
Sutterella,0,0,0,0,0,0,0,0,0.073221561,0,0,0,0.246392115,0.08775306,0.013415416,0.001483063,0.027781379,1.045806906,0.001746633,0,0,0,0.001560817,0,0,0,0,0,0.00141207,0,0.003236927,0,0.001623877,0.003385871,0,0.001702649
Symbiobacterium,0,0,0,0,0,0,0.01461466,0.001696554,0.005632428,0.001573242,0.013765678,0.068999823,0,0,0,0,0.001852092,0.001409443,0.0209596,0.001820134,0,0,0.006243269,0.003300112,0,0,0,0,0,0,0.014566171,0.008160734,0.003247755,0.015236418,0.086143032,0.023837091
Syntrophobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093870879,0,0.004871632,0.006771742,0.072360147,0.008513247
Tahibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033987732,0.013057174,0.003247755,0.016929354,0.046517237,0.07491657
Taibaiella,0,0,0,0,0,0,0.292293203,0.318952208,0.148320598,0.412189481,0.243193637,0.304882941,0,0,0,0.001483063,0,0,0.012226434,0.016381209,0.006507133,0.008438819,0.01716899,0.039601346,0,0,0,0,0,0.001768159,0.100344733,0.099560953,0.07794612,0.558668676,0.170563203,0.332016618
Tannerella,0,0,0,0,0,0,0,0,0,0,0,0,0.081110448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tateyamaria,0,0,0,0,0,0,0,0,0,0,0,0,0.012243086,0.02309291,0.005962407,0,0.012964644,0,0,0,0,0,0,0,0.024694068,0.012519997,0.008536915,0.029572418,0.018356915,0.019449749,0,0,0,0,0,0
Telmatobacter,0.00150184,0,0,0,0,0.003050687,0.485531486,0.395297151,0.422432082,0.445227569,0.602630774,0.526324235,0.396369925,0.006158109,0,0.014830634,0,0.002818887,2.296822874,2.0785934,2.589839111,2.96371308,2.811031856,2.225925681,0,0.004173332,0,0.005218662,0,0,2.574975318,2.875842596,2.719994804,0.97851665,2.937477387,1.631138051
Telmatospirillum,0,0,0,0,0,0,0,0.003393109,0.1013837,0.033038088,0.00152952,0.075418412,0.254044045,0.010776692,0,0.001483063,0.001852092,0.001409443,0.281207972,0.274840283,0.808511331,0.259915612,0.287190373,0.09735331,0,0,0,0,0,0,0.132714001,0.709983842,0.436823046,0.365674042,0.036180073,0.163454335
Tepidimonas,0,0.282389066,0,0,0,0,0,0,0.037549518,0,0,0.001604647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terriglobus,0,0,0,0,0,0,0.021110065,0.003393109,0.035672043,0.077088872,0,0,0,0,0,0,0,0,0.022706234,0.010920806,0.003253567,0.005063291,0.01716899,0.003300112,0,0,0,0,0,0,0.001618463,0.019585761,0.004871632,0.008464677,0.008614303,0.001702649
Terrimonas,0,0.481158069,3.287775972,3.840985092,0.001590331,0.001525344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137569392,0.008160734,0.030853672,0.038937514,0.40487225,0.217939113
Thalassospira,0,0,0,0,0,0,0,0,0,0,0.007647599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027513878,0.003264294,0.003247755,0.003385871,0.001722861,0.005107948
Thermoactinomyces,0,0,0,0,0,0,0.011366958,0.015268989,0.033794567,0.039331057,0,0.003209294,0,0,0,0,0,0,0.012226434,0.005460403,0.003253567,0,0,0.008250281,0,0,0,0,0,0,0,0,0.001623877,0.010157612,0.005168582,0
Thermoanaerobacterium,0,0,0,0,0,0,0.006495405,0.008482771,0.067589133,0.028318361,0.052003671,0.008023235,0,0,0,0,0,0,0.003493267,0.005460403,0.006507133,0.018565401,0.001560817,0.006600224,0,0.228142172,0,0,0,0,0,0.016321468,0.00649551,0.005078806,0,0.001702649
Thermobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001746633,0,0.001626783,0.003375527,0.018729807,0.001650056,0,0,0,0,0,0,0,0.003264294,0,0.003385871,0.008614303,0.003405299
Thermobispora,0,0,0,0,0,0,0,0,0,0,0.00152952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008092317,0.008160734,0.001623877,0.006771742,0.043071516,0.02553974
Thermomonas,0,0,0,0,0,0,0,0,0.076976513,0,0,0.006418588,0,0,0,0.001483063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857785618,0.128939594,1.232523018,2.24652525,0.260151956,0.143022543
Thermopolyspora,0,0,0,0,0,0,0,0,0.00938738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016184634,0.00489644,0.004871632,0.006771742,0.049962958,0.027242389
Thioalkalispira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001746633,0,0,0,0,0.004950168,0,0,0,0,0,0,0.466117468,0.006528587,0.03897306,0.162521797,0.201574695,0.107266907
